video_id,channelId,title,categoryId,publishedAt,view_count,likes,comment_count,sampled_comments,sample_coverage_ratio,owner_top_comments,total_top_comments,owner_replies,total_replies,threads_with_owner_reply,owner_comments_total,audience_comments_total,all_comments_total,owner_engagement_share,response_rate,label_success_views_q75,label_success_likes_q75,likes_per_view_ratio,label_success_lpv_q75,log_owner_engagement_share,log_response_rate
KUDbj0oeAj0,UCQDsiRE--IQe5ycCLeetIxQ,Deftones – Ohms (Official Music Video),10.0,2020-08-21 04:00:11+00:00,1616076.0,101363.0,9943.0,252.0,0.0253444634416172,0.0,240.0,0.0,12.0,0.0,0.0,252.0,252.0,0.0,0.0,0,0,0.06272167893094137,0,0.0,0.0
NndghRxT6E8,UCYAJjqIukwm4r3GHEpJDhVw,NBA 2K21 MyTEAM: Build Your Dream Team,17.0,2020-08-21 14:04:28+00:00,226889.0,7319.0,1125.0,264.0,0.2346666666666666,0.0,243.0,0.0,21.0,0.0,0.0,264.0,264.0,0.0,0.0,0,0,0.03225806451612903,0,0.0,0.0
9ccS1diuNhc,UC4JoLGDc4qhyP5p6Vgs8qXQ,Desi Banks- How It Goes Down In The Hood! EPS 5,24.0,2020-08-21 00:53:06+00:00,576614.0,24246.0,1277.0,252.0,0.1973375097885669,0.0,248.0,0.0,4.0,0.0,0.0,252.0,252.0,0.0,0.0,0,0,0.04204892701183114,0,0.0,0.0
56bUgtG8Gzg,UCIPPMRA040LQr5QPyJEbmXA,Steal It & I'll Buy You a Real Diamond!,20.0,2020-08-21 17:19:34+00:00,7678044.0,361965.0,35075.0,387.0,0.0110334996436208,1.0,248.0,0.0,139.0,0.0,1.0,386.0,387.0,0.0025839793281653,0.0,1,1,0.047142866073703146,0,0.0025806465934915604,0.0
EOm0896a68Y,UCjyxhBc4k3JhB4worSKashA,"Nas Full Circle feat. The Firm, AZ, Foxy Brown, & Cormega (Official Audio)",10.0,2020-08-21 04:10:03+00:00,507151.0,18176.0,4126.0,295.0,0.0714978187106156,0.0,249.0,0.0,46.0,0.0,0.0,295.0,295.0,0.0,0.0,0,0,0.03583942455008469,0,0.0,0.0
Ut4atfudXr8,UCIYJxVaMrBhTDiM5CWHCzIQ,"Alejandro Fernández, Calibre 50 - Decepciones (Official Video)",10.0,2020-08-21 04:00:11+00:00,1725728.0,44839.0,1381.0,431.0,0.3120926864590876,0.0,246.0,0.0,185.0,0.0,0.0,431.0,431.0,0.0,0.0,0,0,0.025982657753713216,0,0.0,0.0
24u3NoPvgMw,UCeJmCJLZWX3L9D47vuWcE8A,Conan Gray - Heather (Official Music Video),10.0,2020-08-20 16:00:00+00:00,5178084.0,749822.0,41062.0,286.0,0.0069650772003312,0.0,244.0,0.0,42.0,0.0,0.0,286.0,286.0,0.0,0.0,1,1,0.144806843612425,1,0.0,0.0
VVIQOtdZSlY,UCv8gFyATae1x0VmDHmNbIhg,Quavo Shuts Down Icebox to Shop!,24.0,2020-08-20 23:30:10+00:00,936875.0,23570.0,1047.0,266.0,0.2540592168099331,0.0,250.0,0.0,16.0,0.0,0.0,266.0,266.0,0.0,0.0,0,0,0.0251581054036024,0,0.0,0.0
SaOCldiwD3E,UCLk8IJ1TwI7Xl7UUfAD8xPQ,Myke Towers - Llegará ( Video Oficial ),10.0,2020-08-20 22:02:10+00:00,9442759.0,274423.0,8630.0,259.0,0.0300115874855156,0.0,239.0,0.0,20.0,0.0,0.0,259.0,259.0,0.0,0.0,1,1,0.029061739264975416,0,0.0,0.0
LT3EWCbh4Oo,UCb934vQ6fg1JZQKvkCQ_j-Q,Snow Tha Product - Really Counts (Official Music Video),10.0,2020-08-20 19:00:28+00:00,703819.0,64880.0,6851.0,334.0,0.0487520070062764,1.0,241.0,0.0,93.0,0.0,1.0,333.0,334.0,0.0029940119760479,0.0,0,0,0.09218279131424414,1,0.0029895388483660136,0.0
